48efcfc2382ae91c65a509bcb1323a88üSean Michael KernerüJedi, eWeek / InternetNews / eSecurity Planet
b3d2bca8a9934724a71def8e5862640cüChris CroneüEngineering Manager, Docker
0423ba7da32b95b4aa8a10b1a712e730üJohannes UntersteinüSoftware Engineer, Neo4j
c7a84b537a42e61ee6f7e81bd9298bdcüGareth RushgroveüDirector of Product Management, Snyk
767d67e0dd22f8ac69bf63e5ac538cb1üAhmet Alp BalkanüDeveloper Advocate, Google
767d67e0dd22f8ac69bf63e5ac538cb1üMaciej SzuliküSoftware Engineer, Red Hat
08bb2e24f470336626710f13903561c7üCraig PetersüPrincipal Program Manager, Microsoft
08bb2e24f470336626710f13903561c7üStephen AugustusüSr. Cloud Native Architect, VMware
6e851cb68d386ed1b5e1e66cab0a2701üScott NicholsüSoftware Engineer 软件工程师, Google
6e851cb68d386ed1b5e1e66cab0a2701üKlaus DeissnerüDevelopment Architect, SAP
e4b58d70c98e494f5310998020a006abüMatt FisherüSoftware Engineer, Microsoft
e4b58d70c98e494f5310998020a006abüMichelle NooraliüSoftware Engineer, Microsoft
6fc1fe2b62d6ca1fabe80369bdb6c533üFrederic BranczyküSoftware Engineer, Red Hat
bfb8f18da25276efe96c0176b38580f5üWilliam MorganüCEO, Buoyant
898b0bb47ee569d174e66a6391bccc3düEd WarnickeüDistinguished Consulting Engineer, Cisco
898b0bb47ee569d174e66a6391bccc3düFrederick F. Kautz IVüHead of Edge Infrastructure, Doc.ai
f6b386ed1c2a917ea78c00b1d32660d0üScott EmmonsüPrincipal Engineer, Scytale
f6b386ed1c2a917ea78c00b1d32660d0üEmiliano BerenbaumüCTO, Scytale
bc01dcaa15b2b7e6ef9270edaa228e8füJohn PlevyaküSoftware Engineer, Google
bc01dcaa15b2b7e6ef9270edaa228e8füDhi AurrahmanüSoftware Engineer, Tetrate
35830bda256ddc8fb18f437bde411741üHenning JacobsüHead of Developer Productivity, Zalando SE
0e64d55531346e6ec61ad7bc54fdbe5cüJosh BerkusüCommunity Lead at Red Hat, Red Hat
8240a0b1edf76c33818e80a7304f45a0üPradipta BanerjeeüSenior Technical Staff Member, IBM
