TalkId;Name;Role
VM1808:9 bc4d80491a86b422ef6fe8faa60d9eea;Jared Watts;Founding Engineer, Upbound
VM1808:9 3e425447da1910b0254fc58d7b764d5d;Radu Matei;Software Engineer, Microsoft
VM1808:9 1bd097f37a3a98785e3f997b5e01b67d;Richard Li;CEO, Datawire
VM1808:9 e4b330927f10cd09318dd27d036b4f97;Vinothkumar Siddharth;Software Engineer, Amazon
VM1808:9 042f84a5328deaeeca80d78d3fa37ef2;Eddie Zaneski;Manager, Developer Relations, DigitalOcean
VM1808:9 9929a9390f5cced8c330fb4204b1f367;Justin Santa Barbara;Software Engineer, Google
VM1808:9 9929a9390f5cced8c330fb4204b1f367;Mike Splain;Senior DevOps Engineer, Sonos
VM1808:9 aa819763db9f3e4a8d06208acc96ec32;Ian Coldwater;Lead Platform Security Engineer, Heroku
VM1808:9 e8b1d1673a49ebd0fc9ad657263c3aa2;Kensaku Komatsu;Technical Manager, NTT Communications
VM1808:9 e8b1d1673a49ebd0fc9ad657263c3aa2;Jun Makishi;Senior Architect, NTT Communications
VM1808:9 4eeef6e82f130f5b3532b9bfcbe82f82;Lee Calcote;Founder, Layer5
VM1808:9 4eeef6e82f130f5b3532b9bfcbe82f82;Girish Ranganathan;Principal Architect, SolarWinds
VM1808:9 c591b4a004812f6c5088587796cad484;Tara Baskara;System Engineer, GO-JEK
VM1808:9 c591b4a004812f6c5088587796cad484;Iqbal Farabi;System Engineer, GO-JEK
VM1808:9 ef6158226820d00eb1f9cda537273b61;Scott Rigby;DevOps Engineer, Codecademy
VM1808:9 ef6158226820d00eb1f9cda537273b61;Paul Czarkowski;Developer Advocate, Pivotal
VM1808:9 f633327e5d0c83568a56a2a41f06081e;Emily Tanaka-Delgado;Director of DevRel Engagement, Oracle
VM1808:9 f633327e5d0c83568a56a2a41f06081e;Ant Kennedy;CTO, Gapsquare
VM1808:9 f633327e5d0c83568a56a2a41f06081e;Priya Shah;Co-Founder, Sauce
VM1808:9 f633327e5d0c83568a56a2a41f06081e;Charlie Davies;CTO and Co-Founder, iGeolise
VM1808:9 f633327e5d0c83568a56a2a41f06081e;Alfonso Santiago;R&D Engineer, ELEM Biotech
VM1808:9 35f5fff8674a4e5a5552213cb53e8a3e;Joe Beda;Principal Engineer, VMware
VM1808:9 ce97c78c19ab46ee8f166f1abef8a2a5;Sanjary Rahman;Site Reliability Engineer, Booking.com
VM1808:9 62baffcab50497258af368081ee3033a;Trevor Grant;Open Source AI / IoT Evangelist, IBM
VM1808:9 62baffcab50497258af368081ee3033a;Holden Karau;Developer Advocate, Google
VM1808:9 8a8cb2abb6f48e895a3dd7f53502ed78;Eduardo Silva;Principal Engineer, Arm / Treasure Data
VM1808:9 c50a5efac4ca89351cca58e39049faf7;Elsie Phillips;Product Marketing Manager, Red Hat
VM1808:9 c50a5efac4ca89351cca58e39049faf7;Paris Pittman;Kubernetes OSS Strategy, Google
VM1808:9 68f7acb21c1a848d8466f5e24bb198c9;Max Inden;Senior Software Engineer, Red Hat
VM1808:9 68f7acb21c1a848d8466f5e24bb198c9;Frederic Branczyk;Software Engineer, Red Hat
VM1808:9 0af5d5c4d18a919234ea1f836cb8dc77;Jonathan Berkhahn;Open Source Contributor, IBM
VM1808:9 565bec319cf7e33d98641ab366f40228;Lei Zhang;Staff Engineer, Alibaba
VM1808:9 565bec319cf7e33d98641ab366f40228;Jeremy Rickard;Senior Software Engineer, Microsoft
VM1808:9 a108299bd874a3b7c331845cd6be98dd;Da Ma;Kubernetes Maintainer, SIG-Scheduling Co-Leader, Volcano leader, Huawei
VM1808:9 a108299bd874a3b7c331845cd6be98dd;Shivram Srivastava;System Engineer, Huawei Technologies
VM1808:9 7446844cb64b9d1dcc35e894c16b62fb;Vishal Powar;Senior Software Engineer, Google
VM1808:9 b9f75ff8ddfd00fe46fb01d63d75d819;Matthias Loibl;Software Engineer, Red Hat
VM1808:9 b9f75ff8ddfd00fe46fb01d63d75d819;Sergiusz Urbaniak;Software Engineer, Red Hat
VM1808:9 8ab0562f3abccaf66aaa1ed24911667a;Saad Ali;Senior Software Engineer, Google
VM1808:9 21c25cfa527adca9fe2e4d6d26122eba;Justin Cormack;Security Engineer, Docker
VM1808:9 83c531ff34e22b86d49c8693dbd55650;Arun Gupta;Principal Open Source Technologist, Amazon Web Services
VM1808:9 83c531ff34e22b86d49c8693dbd55650;Dee Kumar;Vice President, Developer Marketing, Linux Foundation
VM1808:9 ea4ac13188b14e58618553a6373dfbb1;Stephan Fudeus;Expert Continuous Delivery, 1&1 Mail & Media Development & Technology GmbH
VM1808:9 ea4ac13188b14e58618553a6373dfbb1;David Meder-Marouelli;Systems Architect, 1&1 Mail & Media Development & Technology GmbH
VM1808:9 d79221835be8d0cbd8ff025bb0ffb2c6;David Zhu;Software Engineer, Google
VM1808:9 d79221835be8d0cbd8ff025bb0ffb2c6;Jan Šafránek;Software Engineer, Red Hat
VM1808:9 ee3228dfd1247d5d107a2e1734f09972;Sai Vennam;Developer Advocate, IBM
VM1808:9 d2badd0bd8ae2ccb92f7ef34ba440c45;Marton Elek;Engineer, Cloudera
VM1808:9 d2badd0bd8ae2ccb92f7ef34ba440c45;Anu Engineer;Principal Software Engineer, Cloudera
VM1808:9 a3f66d104d3279a294ff622f33a12d5d;Ashlynn Polini;Sr. Events Manager, Docker
VM1808:9 ae900289e3dc84efbfe265bed5aad387;Ping Zou;Principal Software Engineer, Intuit
VM1808:9 ae900289e3dc84efbfe265bed5aad387;Minhan Xia;Software Engineer, Google
VM1808:9 405f362a9c68b1f9728cb83c6d8710ee;David Aronchick;Program Manager, Microsoft
VM1808:9 bc99d446c4e134d209dc9893faa39f7c;Phillip Wittrock;SWE, Google
VM1808:9 bc99d446c4e134d209dc9893faa39f7c;Maciej Szulik;Software Engineer, Red Hat
VM1808:9 90a1c5bb0f68a1dade332cd32e5c83e8;John Belamaric;Senior Staff Software Engineer, Google
VM1808:9 90a1c5bb0f68a1dade332cd32e5c83e8;Yong Tang;Director of Engineering, MobileIron
VM1808:9 c10902602e2aa394a3c3b18391f5571e;Tan Jiang;Staff Engineer, VMware
VM1808:9 c10902602e2aa394a3c3b18391f5571e;Steven Zou;Staff Engineer, VMware
VM1808:9 ba2c012090133ba8d2d98f503eab37f1;Sanjeev Rampal;Principal Engineer, Cisco
VM1808:9 ba2c012090133ba8d2d98f503eab37f1;Ryan Bezdicek;Software Engineer, Cray Inc.
VM1808:9 f594aa6d6d2ec479dac44c375b8be460;Shyam Jeedigunta;Software Engineer, Amazon
VM1808:9 f594aa6d6d2ec479dac44c375b8be460;Wojciech Tyczynski;Staff Software Engineer, Google
VM1808:9 cbeb6b44a8fd9a25b95c190e5fac22b7;Emiliano Berenbaum;CTO, Scytale
VM1808:9 cbeb6b44a8fd9a25b95c190e5fac22b7;Scott Emmons;Principal Engineer, Scytale
VM1808:9 ed36bb83476fce99a92e93f29965efea;Da Ma;Kubernetes Maintainer, SIG-Scheduling Co-Leader, Volcano leader, Huawei
VM1808:9 ed36bb83476fce99a92e93f29965efea;Kevin Wang;Principal Engineer, Huawei
VM1808:9 9f91335a566584503916c32155c92613;Steven  Dake;Istio WG Lead, Independent
VM1808:9 f8217db9ad043394ae6eb2a30ebfa91f;Gabriela Soria;Intern, CNCF (Opentracing /Jaeger)
VM1808:9 b5905d328bd27fd0e49635a45d2f2090;Thomas Graf;Co-Founder & CTO, Isovalent
VM1808:9 b8360ae33e941f349c7e91fa7a4bb56d;Maya Kaczorowski;Product Manager, Google
VM1808:9 b8360ae33e941f349c7e91fa7a4bb56d;Ann Wallace;Security Global Practice Lead, Google
VM1808:9 5dfc344b79d5c33f5c52bddb95ce76bb;Eden Pierre Rozin;Product Manager, AT&T
VM1808:9 f623df7e6ceccbceaf78d871ad85f102;Flynn;Principal Software Engineer, Datawire
VM1808:9 eec751246e1128655fc1dd4786596109;Fabrice Jammes;Senior cloud architect, LSST Corporation & French National Institute of Nuclear and Particle Physics (IN2P3)
VM1808:9 92907f864dd4e608993dc082b2ffe8fc;Paul Jones;Cloud Software Engineer, Dyson
VM1808:9 e5b715f6e6ead0ab4a98502f6368e19e;Zsolt Homorodi;Senior specialist, IT, VTT
VM1808:9 f17e2a581236d2e7c838be9e7dbbf501;Cheryl Hung;Director of Ecosystem, CNCF
VM1808:9 f17e2a581236d2e7c838be9e7dbbf501;Jeff Brewer;Vice President, Chief Architect of the Small Business and Self Employed Group, Intuit
VM1808:9 f17e2a581236d2e7c838be9e7dbbf501;Brad Topol;Distinguished Engineer, IBM
VM1808:9 f17e2a581236d2e7c838be9e7dbbf501;Ken Owens;Vice President, Digital Native Architecture, Mastercard
VM1808:9 5e808f4ffd742aef95e029f37ee82b60;Josh Berkus;Community Lead at Red Hat, Red Hat
VM1808:9 5e808f4ffd742aef95e029f37ee82b60;Łukasz Gryglicki;Senior Software Developer, Cloud Native Computing Foundation
VM1808:9 42e8955173cac414599d1c537e819c65;Illya Chekrygin;Founding Engineer, Upbound
VM1808:9 f30d98c2a00e879d6658b1da5b177d65;Yong Tang;Director of Engineering, MobileIron
VM1808:9 f30d98c2a00e879d6658b1da5b177d65;Yuan Tang;Senior Software Engineer, Ant Financial
VM1808:9 c280e30f44de379b77a3b0fd122c91b9;Terence Lee;Principal Languages Engineer, Heroku
VM1808:9 c280e30f44de379b77a3b0fd122c91b9;Stephen Levine;Staff Software Engineer, Pivotal
VM1808:9 54444050f076c461e8654afdec6a9c9e;Bryan Boreham;Director Software Engineering, Weaveworks
VM1808:9 54444050f076c461e8654afdec6a9c9e;Tom Wilkie;VP Product, Grafana Labs
VM1808:9 cf5671daf3f1c26214ecb2a466eeeac9;Loc Nguyen;Staff Engineer II, VMware
VM1808:9 cf5671daf3f1c26214ecb2a466eeeac9;Sidharth Surana;Staff Engineer, VMware
VM1808:9 bef04a89c51c8b4ec2144441d219a0fe;Benjamin Elder;Software Engineer, Google
VM1808:9 bef04a89c51c8b4ec2144441d219a0fe;James Munnelly;Solutions Engineer, Jetstack.io
VM1808:9 b55473e7610719b7db4ed28eb64eb595;Purvi Desai;Senior Software Engineering Manager, Google
VM1808:9 b55473e7610719b7db4ed28eb64eb595;Tim Hockin;Principal Software Engineer, Google
VM1808:9 55f72125e3c00cea847bb0fbf61dc1b8;Daniela Miao;Engineering, LightStep
VM1808:9 471758bf9287b654bb1ff1e1df14d2b4;Abhishek Sangwan;Product Engineer, MavenHive Technologies
VM1808:9 471758bf9287b654bb1ff1e1df14d2b4;Akashdeep Singh;Product Engineer, GO-JEK
VM1808:9 fcfacf63753b9a0cf967534a12e4b5ef;Rob Scott;Lead Site Reliability Engineer, ReactiveOps
VM1808:9 d55c9383b963fe1fd1a3a0d9387295c7;Xiaoyu Zhang;Software engineer, Alibaba
VM1808:9 d55c9383b963fe1fd1a3a0d9387295c7;Lei Zhang;Staff Engineer, Alibaba
VM1808:9 e761364d879b109566b56bfc38ffb1e7;LEO LIANG;Engineering Manager, Cruise Automation
VM1808:9 d8a6c2398b12a8c362bda8bd234d1456;Michelle Au;Software Engineer, Google
VM1808:9 0174d2f9f347c3614a5c7199e56562d5;Chris Hoge;Senior Strategic Program Manager, OpenStack Foundation
VM1808:9 0174d2f9f347c3614a5c7199e56562d5;Andrew Sy Kim;Open Source Engineer, VMware
VM1808:9 0174d2f9f347c3614a5c7199e56562d5;Jago Macleod;Engineering Director, Kubernetes, Google
VM1808:9 b2326e4ff55e176c4092fc008968d294;Wei Guo;Software Engineer, Ant Financial
VM1808:9 b2326e4ff55e176c4092fc008968d294;Zhen Zhang;Senior Engineer, Alibaba
VM1808:9 06530f04c75c00ee51a0c9d206479e21;Laurent Bernaille;Staff Engineer, Datadog
VM1808:9 06530f04c75c00ee51a0c9d206479e21;Robert Boll;Compute lead, Datadog
VM1808:9 84a37c97006a709e88d52771099ce13d;James Haughwout;Head of Infrastructure & Operations, Spotify
VM1808:9 b1d7b7ea054a3a760b4f37cd05f003b3;Ville Aikas;Software Engineer, Google
VM1808:9 b1d7b7ea054a3a760b4f37cd05f003b3;Matt Moore;Software Engineer, Google
VM1808:9 76eb7418cc42fc305547af6687865592;Krzysztof Adamski;Data Infrastructure Architect, ING
VM1808:9 76eb7418cc42fc305547af6687865592;Rob Keevil;Data Analytics Platform lead, ING
VM1808:9 369a9edf58524539c4dfd125d44b7ab5;Lubomir I. Ivanov;Open Source Engineer, VMware
VM1808:9 369a9edf58524539c4dfd125d44b7ab5;Fabrizio Pandini;Software Engineer, UniCredit
VM1808:9 715768ab5620b5c56bd79d03254b561a;Jin Zhang;Senior Software Engineer, Alibaba
VM1808:9 715768ab5620b5c56bd79d03254b561a;Haibing Zhou;Software Engineer, eBay
VM1808:9 742da6b7e349fc51a97ca17a9144cace;Stephen Augustus;Sr. Cloud Native Architect, VMware
VM1808:9 742da6b7e349fc51a97ca17a9144cace;Ihor Dvoretskyi;Developer Advocate, Cloud Native Computing Foundation
VM1808:9 9efd7d6fef1bd393c539ca1b0bb8d70e;Waldemar Quevedo;Software Engineer, Synadia Communications, Inc
VM1808:9 bf1d178b4aef989e46eb9647dca1bfb5;Lukas Puehringer;Research Associate, NYU
VM1808:9 bf1d178b4aef989e46eb9647dca1bfb5;Justin Cappos;Professor, New York University
VM1808:9 abedb018534fc92adf8fc34f0a6cddb8;Justin Santa Barbara;Software Engineer, Google
VM1808:9 49ebc2b0cd85689b8a171d5a91b10f46;Blake Barnett;Staff Engineer, Postmates
VM1808:9 49ebc2b0cd85689b8a171d5a91b10f46;Pavithra Ramesh;Software Engineer, Google
VM1808:9 4121cde5c071653f1de704253aa77e83;Warren Fernandes;Staff Software Engineer, Pivotal Software, Inc.,
VM1808:9 4121cde5c071653f1de704253aa77e83;Jason Keene;Software Engineer, Pivotal Software, Inc.,
VM1808:9 0537c41b237e0ca201c8c8bfc10b50b4;Sanjeev Rampal;Principal Engineer, Cisco
VM1808:9 0537c41b237e0ca201c8c8bfc10b50b4;Ryan Bezdicek;Software Engineer, Cray Inc.
VM1808:9 0537c41b237e0ca201c8c8bfc10b50b4;Erica von Buelow;Software Engineer, Red Hat
VM1808:9 0537c41b237e0ca201c8c8bfc10b50b4;Tasha Drew;Product Manager, VMWare
VM1808:9 4c3abe092f8e7177f07d981a20cfac1e;Michael Danese;Software Engineer, Google
VM1808:9 fc8bf4b9e14b26fe589b494acedd04c0;Igor Khapov;Head of virtualisation development department, IBM
VM1808:9 b6be08d63f0cf070dc6b87dc2a36677f;Daniel Bryant;Product Architect, Datawire
VM1808:9 b6be08d63f0cf070dc6b87dc2a36677f;Nic Jackson;Schedule or People, HashiCorp
VM1808:9 eeddcb11105ea5b1e9044db64c4e02b1;Sébastien Han;Principal Software Engineer, Storage Architect, Red Hat
VM1808:9 eeddcb11105ea5b1e9044db64c4e02b1;Federico Lucifredi;Product Management Director, Red Hat
VM1808:9 ec09b72d2bd5fa9da45ea6c2de7e652a;Janet Kuo;Software Engineer, Google
VM1808:9 43d55abb2f6d332d5498bf409dcecc7e;Bryan Liles;Senior Staff Engineer, VMware
VM1808:9 cf886518c526e6d5555cfd19530a07d5;Laura Rehorst;Product Owner - Stratus Platform, ABN AMRO Bank NV
VM1808:9 cf886518c526e6d5555cfd19530a07d5;Mike Ryan;DevOps Consultant, backtothelab.io
VM1808:9 cbef878aaef0d173ab078b9223db0fc7;Frederic Branczyk;Software Engineer, Red Hat
VM1808:9 cbef878aaef0d173ab078b9223db0fc7;Tom Wilkie;VP Product, Grafana Labs
VM1808:9 7db191a01afb96b1dedce23317059ab8;Bryan Liles;Senior Staff Engineer, VMware
VM1808:9 7db191a01afb96b1dedce23317059ab8;Janet Kuo;Software Engineer, Google
VM1808:9 d01a5fee0c2b3beca8164d906377b05c;Cornelia Davis;Vice President, Technology, Pivotal
VM1808:9 31aec0b9f14acda3e39b03d42e77e299;Greg DeArment;Head of Infrastructure, Palantir Technologies
VM1808:9 31aec0b9f14acda3e39b03d42e77e299;Vlad Ungureanu;Tech Lead, Deployment Infrastructure, Palantir Technologies
VM1808:9 32f3460e62f9ab93efaf867f150d5245;James Munnelly;Solutions Engineer, Jetstack.io
VM1808:9 32f3460e62f9ab93efaf867f150d5245;Benjamin Elder;Software Engineer, Google
VM1808:9 4b3d7914cf9d9762e772957c8cbb3b7d;Paris Pittman;Kubernetes OSS Strategy, Google
VM1808:9 d10627ee347d505afb21ed38c1ea33dd;Madhukar Korupolu;Distinguished Engineer, NVIDIA
VM1808:9 86375119b867f33ffc07073154f71953;Jason DeTiberus;Senior Member of Technical Staff, VMWare
VM1808:9 86375119b867f33ffc07073154f71953;Hardik Dodiya;Software Developer, SAP, Gardener Team
VM1808:9 30a529ffee3785c72805e2aff483cf77;Lizan Zhou;Founding Engineer, Tetrate
VM1808:9 97de876d91963de8c25bf9161f743c2c;Frederic Branczyk;Software Engineer, Red Hat
VM1808:9 97de876d91963de8c25bf9161f743c2c;Andrew Seigner;Software Engineer, Buoyant
VM1808:9 ba7d3cdfa64a672fb7fb096f48dd0b1e;Xin Ma;Principal Cloud Engineer, eBay
VM1808:9 705bfd07d06d35620de1ee452262e4be;Andreea Florescu;Software Engineer, Amazon
VM1808:9 705bfd07d06d35620de1ee452262e4be;Samuel Ortiz;Principal Software Engineer, Intel
VM1808:9 61992fa7e1f67013c2556356426d96a3;Liz Rice;Technology Evangelist, Aqua Security
VM1808:9 020e1f194350f947a76ce4509ec0ee82;Ewan Slater;Cloud Architect, Oracle
VM1808:9 978f002274d71f0287d2b94c914cdb39;Granville Schmidt;Site Reliability Lead, Aspen Mesh
VM1808:9 b09d9888da26bc92c30d76e72f09bd09;Cheryl Hung;Director of Ecosystem, CNCF
VM1808:9 b09d9888da26bc92c30d76e72f09bd09;Dan Kohn;Executive Director, Cloud Native Computing Foundation
VM1808:9 b09d9888da26bc92c30d76e72f09bd09;Taylor Carpenter;Partner, Vulk Coop
VM1808:9 7a601d32d991dd4bc53508657e54054d;Adnan Abdulhussein;Software Engineer, Bitnami
VM1808:9 2eb9e33a3a72566cbc5eaea7827de796;Nimesh Bhatia;Program Director, IBM
VM1808:9 2eb9e33a3a72566cbc5eaea7827de796;Brad Topol;Distinguished Engineer, IBM
VM1808:9 2eb9e33a3a72566cbc5eaea7827de796;Khalid Ahmed;Distinguished Engineer, IBM
VM1808:9 2eb9e33a3a72566cbc5eaea7827de796;Sahdev Zala;Senior Software Engineer, IBM
VM1808:9 64e4cdb7bc302ac9c27381175b3d515d;Erica von Buelow;Software Engineer, Red Hat
VM1808:9 64e4cdb7bc302ac9c27381175b3d515d;Zhipeng Huang;Principle Engineer, Huawei
VM1808:9 c71312d70960e64f9cdfabe8e490a651;Saad Ali;Senior Software Engineer, Google
VM1808:9 45cd7c0d23ae3b97933e757a4fd536e3;Chris Hoge;Senior Strategic Program Manager, OpenStack Foundation
VM1808:9 45cd7c0d23ae3b97933e757a4fd536e3;Aditi Sharma;Software Engineer, NEC
VM1808:9 6296c1a48c61711f373663d2e9048b42;Richard Hartmann;Monitoring Lead, SpaceNet
VM1808:9 6296c1a48c61711f373663d2e9048b42;Julius Volz;Co-Founder, Prometheus
VM1808:9 ff5406901fe9c7046eb004189bcaa380;Mitch Kelley;Software Engineer, Solo.io
VM1808:9 ff5406901fe9c7046eb004189bcaa380;Idit Levine;CEO, Solo.io
VM1808:9 4ac87f412d15250898956657cd387c0a;Jonathan Juares Beber;SRE, Onefootball GmbH
VM1808:9 4ac87f412d15250898956657cd387c0a;Rodrigo Del Monte;SRE, Onefootball GmbH
VM1808:9 50ca11492045265d0b38fe2724b8d223;Rohan Singh;Lead Infrastructure Engineer, Hustle Inc
VM1808:9 fe4653fef6970ddc36895396446fce27;Aaron Teague;Software Engineer, Supergiant
VM1808:9 fe4653fef6970ddc36895396446fce27;Clarke Vennerbeck;Kubernetes Educator/Evangelist, Supergiant
VM1808:9 bd50569f1e029dfedde2a401ae3a67e3;Chris Aniszczyk;CTO/COO, Linux Foundation (CNCF)
VM1808:9 bd50569f1e029dfedde2a401ae3a67e3;Alexis Richardson;Founder & CEO, Weaveworks
VM1808:9 bd50569f1e029dfedde2a401ae3a67e3;Liz Rice;Technology Evangelist, Aqua Security
VM1808:9 bd50569f1e029dfedde2a401ae3a67e3;Jeff Brewer;Vice President, Chief Architect of the Small Business and Self Employed Group, Intuit
VM1808:9 bd50569f1e029dfedde2a401ae3a67e3;Joe Beda;Principal Engineer, VMware
VM1808:9 079a9f5eb1ab0005b11c6e39f25412f8;Vincent Lesierse;Technical Product Manager, Vamp.io
VM1808:9 079a9f5eb1ab0005b11c6e39f25412f8;Jörg Schad;Head of Machine Learning, ArangoDB
VM1808:9 4e0f46ffb3d67f3b7a5cac6ea2ffa5a2;Justin Santa Barbara;Software Engineer, Google
VM1808:9 4e0f46ffb3d67f3b7a5cac6ea2ffa5a2;Mike Splain;Senior DevOps Engineer, Sonos
VM1808:9 cf755cf3ce2e30481d0c5c3318e96e75;Tom Wilkie;VP Product, Grafana Labs
VM1808:9 b03427dd57c47b8e6455607c40464136;Abdul Halim;Cloud Software Engineer, Intel
VM1808:9 b03427dd57c47b8e6455607c40464136;Doug Smith;Senior Software Engineer, Red Hat
VM1808:9 6a67e62b03975315c433cce7971d80d6;Ana Calin;Systems Engineer, Paybase
VM1808:9 29a844aba546e4393319fe0153f23e56;Alexandr Tcherniakhovski;Security Engineer, Google
VM1808:9 29a844aba546e4393319fe0153f23e56;Andrew Lytvynov;Software Engineer, Google
VM1808:9 6fbb28379db5712b69a10db7766b35d1;Lev Radomislensky;Software Developer, Iguazio
VM1808:9 453bcf8b33831ec1410cf76fef42e542;Pierre Meunier;Senior Platform Engineer, Wealth Wizards
VM1808:9 453bcf8b33831ec1410cf76fef42e542;Dave Shepherd;Senior Platform Engineer, Wealth Wizards
VM1808:9 4d78e238d04dcc82e7d4966415dff0f1;Steven Ren;Senior Manager, VMware
VM1808:9 c235ad44c28d9cff7e1fa5911348baee;Jessica Deen;Senior Cloud Advocate, Microsoft
VM1808:9 c235ad44c28d9cff7e1fa5911348baee;Bridget Kromhout;Principal Cloud Advocate, Microsoft
VM1808:9 268a8574b49f685c2a5d660d3b2ba67c;Lisa-Marie Namphy;K8s user community manager / moderator, Portworx
VM1808:9 268a8574b49f685c2a5d660d3b2ba67c;Joseph Sandoval;SRE Manager, Adobe
VM1808:9 268a8574b49f685c2a5d660d3b2ba67c;Allan Naim;Senior Manager, Google
VM1808:9 268a8574b49f685c2a5d660d3b2ba67c;Eric Han;Product Manager, Portworx
VM1808:9 268a8574b49f685c2a5d660d3b2ba67c;Umair Mufti;Data Services Manager, DreamWorks Animation
VM1808:9 5ba5c5efe4aaf9f538ed8a2df1611006;James Rawlings;Engineer, Cloudbees
VM1808:9 5ba5c5efe4aaf9f538ed8a2df1611006;Christie Wilson;Software Engineer 软件工程师, Google
VM1808:9 65dd7c42f808f4b2b4fdf7309f436153;Sarah Conway;VP, Communications, The Linux Foundation
VM1808:9 65dd7c42f808f4b2b4fdf7309f436153;Daniel Izquierdo;Chief Data Officer, Bitergia, InnerSourceCommons community
VM1808:9 65dd7c42f808f4b2b4fdf7309f436153;Nicole Huesman;Community and Developer Advocate, Independent
VM1808:9 34fb3b4e57d447b31194130f447a5697;Jeremy Lewi;Senior Software Developer, Google
VM1808:9 34fb3b4e57d447b31194130f447a5697;Willem Pienaar;Data Science Platform Lead, GO-JEK
VM1808:9 df024bb574092e0e8e8c646520b29321;Mo Khan;Software Engineer, Red Hat, Inc
VM1808:9 df024bb574092e0e8e8c646520b29321;Matt Rogers;Senior Software Engineer, Red Hat
VM1808:9 627db62bbdb5706c496bb9f1966403e5;Lachlan Evenson;Principal Program Manager, Microsoft
VM1808:9 627db62bbdb5706c496bb9f1966403e5;Stephen Augustus;Sr. Cloud Native Architect, VMware
VM1808:9 a54993b7d8d1bae0e471a13f89078b85;Jeff Sica;Research Database Administrator, University of Michigan
VM1808:9 a54993b7d8d1bae0e471a13f89078b85;Sebastian Florek;Software Engineer, Loodse
VM1808:9 255a07de43026898a7b6e52520b16be6;Oliver Gould;Buoyant, CTO
VM1808:9 f5c4618a796fe2d12cfaf60cf615d01e;Louis-Etienne Dorval;Lead Engineer, Ticketmaster
VM1808:9 1da97936b3c19076f3ac38dfe4f02e50;Wojciech Tyczynski;Staff Software Engineer, Google
VM1808:9 1da97936b3c19076f3ac38dfe4f02e50;Andrzej Wasylkowski;Engineering Manager, Google
VM1808:9 15b64717d8f1808d1e72a7cc5706f927;Phil Estes;Distinguished Engineer & CTO, Container Architecture Strategy, IBM Cloud
VM1808:9 9b6dd91afedabf694a47035a653ff812;Evan Gilman;Engineer, Scytale
VM1808:9 593052567f154c3097446b48895090cc;Ivana Yovcheva;Open Source Developer, VMware
VM1808:9 593052567f154c3097446b48895090cc;Simon Pelczer;Software Engineer, LivePerson
VM1808:9 0c8f37f939e6c2391f5f4ec9b92ae586;Anusha Ragunathan;Senior Software Engineer, Docker
VM1808:9 0c8f37f939e6c2391f5f4ec9b92ae586;Jean Rouge;Senior Software Engineer, Docker
VM1808:9 8a4b58dfa7b44245a301b895b43853ef;Juraci Paixão Kröhling;Software Engineer, Red Hat
VM1808:9 8a4b58dfa7b44245a301b895b43853ef;Prithvi Raj;Software Engineer, Uber
VM1808:9 99837d0d228b52c7a6d5966193017912;Kilton Hopkins;CEO, Edgeworx
VM1808:9 99837d0d228b52c7a6d5966193017912;Dejan Bosanac;Software Engineer, Red Hat
VM1808:9 99837d0d228b52c7a6d5966193017912;Steven Wong;Open Source Community Relations Engineer, VMware
VM1808:9 e0a72a59fe09bf47e776a8e9aefcfd07;Doug Davis;STSM, IBM
VM1808:9 e0a72a59fe09bf47e776a8e9aefcfd07;Scott Nichols;Software Engineer 软件工程师, Google
VM1808:9 4ae6cdefdcb71a4e0ae73a3e1c0ae0aa;Patrick Lang;Senior Software Engineer, Microsoft
VM1808:9 4ae6cdefdcb71a4e0ae73a3e1c0ae0aa;Michael Michael;Director of PM, VMware
VM1808:9 32a07ade611c54429f34ed66905a7ac0;Amy Chen;Systems Software Engineer, VMware
VM1808:9 32a07ade611c54429f34ed66905a7ac0;Eryn Muetzel;Director, Product Management, VMware
VM1808:9 0d4d364a1fa4f58ce5e11e9169f1a0b8;Jun Chen;Senior Software Engineer, Ant Financial
VM1808:9 0d4d364a1fa4f58ce5e11e9169f1a0b8;Lei Zhang;Staff Engineer, Alibaba
VM1808:9 c8088b1eb8fb29d884fb8aee5bd93933;Alexander Matyushentsev;Principle Software Engineer, Intuit
VM1808:9 c8088b1eb8fb29d884fb8aee5bd93933;Danny Thomson;Software Engineer 2, Intuit
VM1808:9 de68b653ac0aea50ad520a546324920f;Austin Lamon;Product Manager, Spotify
VM1808:9 de68b653ac0aea50ad520a546324920f;Dave Zolotusky;Software Engineer, Spotify
VM1808:9 d8b8004e32002a5dc15ab19094365a92;Yaron Haviv;Founder and CTO, Iguazio
VM1808:9 d8b8004e32002a5dc15ab19094365a92;Maulin Patel;Product Manager, Google
VM1808:9 903202ccbcc8dccbe6d415c97d005e4e;Radu Matei;Software Engineer, Microsoft
VM1808:9 75792d5b2d0f4f2479967150c7e937d5;Antoine Legrand;Software Engineering Manager, Red Hat
VM1808:9 75792d5b2d0f4f2479967150c7e937d5;Matthew Mosesohn;Senior Devops Engineer, Progmatic Lab
VM1808:9 ba29f747aa243489abb8063e1f15d5e0;Tim Pepper;Open Source Engineer, VMware
VM1808:9 b5f5aa6d6753ab393fe4913dd47d35af;Dan Kozlowski;Lead Engineer, PlanetScale
VM1808:9 b5f5aa6d6753ab393fe4913dd47d35af;Jiten Vaidya;CEO, PlanetScale
VM1808:9 52f3f3b3f763f7a4e11e6b1c78ecb59c;Rastislav Szabo;Staff Enginner, PANTHEON.tech
